"This shipping method is only available in Morocco .","Cette méthode d'expédition n'est disponible qu'au Maroc."
"There are no Pickup points near this address, please modify it.","Aucun point relais  n'est disponible autour de l'adresse saisie, merci de la modifier."
"Closed","Fermé"
"Speedbox Relais is not available at the moment, please try again shortly.","Speedbox Relais est temporairement indisponible, merci de réessayer dans quelques instants."
"#order ID :","#Commande ID :"
"Package well removed","Colis bien supprimé"
"Support well sent:","Prise en charge bien envoyé :"
"Parcels already treated here is the information:","Colis déjà traité voici les informations :"
"Dear customer, you can follow your Speedbox parcel delivery by Refresh a page","Cher client, Une demande de prise en charge de votre colis est envoyé, vous pouvez suivre l'acheminement de votre colis par Speedbox sur votre fiche commande dans la section \"Staut du colis Speedbox\" tout en bas de la page."
"#Commande ID :","#Commande ID :"
"No order selected","Aucune commande sélectionnée"
"Delivered orders statuses were updated","Les commandes livrées ont été mises à jour"
"There are no Speedbox orders","Aucune commande Speedbox"
"SpeedBox delivery plugin for WooCommerce - Morocco vendors only","Module de livraison SpeedBox Relais pour WooCommerce - Maroc uniquement"
"Enable/Disable","Activer/Désactiver"
"Enable SpeedBox Relais","Activer la livraison SpeedBox Relais"
"Title","Titre"
"The title which the user sees during checkout.","Ce titre sera affiché en front-office, lors de la sélection du mode du livraison."
"Livraison SpeedBox Relais","Livraison SpeedBox Relais"
"Api token","Api token"
"Contact your SpeedBox sales representative to obtain this data","Contacter votre attaché commercial SpeedBox pour obtenir ces données"
"Security Key","Clé de sécurité"
"Please enter the secuity key provided by SpeedBox.","Veuillez saisir la clé de sécurité fournie par SpeedBox."
"SpeedBox Relais Webservice URL","URL Webservice SpeedBox Relais"
"Please enter the SpeedBox Relais WebService URL.","Veuillez saisir l'URL du Webservice SpeedBox Relais"
"Cash on Delivery","Paiement à la Livraison"
"Select your cash on delivery method paiement","Lier speedbox au mode de paiement à la livraison de votre choix, si ce mode de paiement est activé est sélectionné par le client la valeur cash_due (le montant à payer par le client lors de la livraison) sera egale au valeur du montant de la commande"
"Tax Status","Statut fiscal"
"Taxable","Appliquer la TVA"
"None","Hors taxes"
"Enable free shipping coupons mangement","Tenir compte des coupons offrant les frais de port"
"If the customer applies a valid coupon, shipping will be free.","Si le client applique un code promo valide, les frais de port seront offerts."
"Enabled","Activé"
"Disabled","Désactivé"
"Delivery Fee Management","Gestion de frais de livraison"
"Use of Speedbox rates (via API) with possibility of a supplement or specify delivery charges","Utilisation du tarifs Speedbox ( via api ) avec possibilité d'un supplément ou spécifier des frais de livraison"
"Use of Speedbox rates (via API) + supplement","Utilisation du tarifs Speedbox ( via api ) + supplément"
"Specify shipping costs","Spécifier des frais de livraison"
"Overcost","Supplément"
"default price.","Prix par defaut"
"Default price when the relay point is not yet selected.","Prix ​​par défaut lorsque le point de relais n'est pas encore sélectionné par le client "
"Google Maps API Key","Clé API Google Maps"
"Click here to retrieve your Google API Key","Cliquez  pour générer votre clé API Google Maps"
"City as a drop-down list","Ville sous forme de liste déroulante"
"All of Morocco","Tout le Maroc"
"Weight (%s)","Poids (%s)"
"Total (%s)","Total (%s)"
"Staut du colis Speedbox","Staut du colis Speedbox"
"Injection of treatment requests","Envoyer une demande de prise en charge"
"Parcels trace","Tracker les colis"
"Update delivered orders","Traiter les commandes livrées"
"Cancel of treatment requests","Annuler les colis"
"Order ID","ID Commande"
"Date","Date"
"Customer","Client"
"Destination","Adresse de livraison"
"Weight","Poids"
"Amount","Montant"
"Order Status","Statut commande"
"Package status","Statut du colis"
"Search something, separate values by semicolons ;","Recherche par termes, séparez-les par des points-virgules ;"
"Speedbox Information","Informations Speedbox"
"Number","Numéro"
"Barcode","Code barre"
"Shipping Rates","Gestion frais de port"
"Zone","Zone"
"Shipping zone, as defined in Shipping Zones table.","Zone de livraison, comme définie ci-dessus."
"Condition","Condition"
"Choose which metric to base your table rate on.","Sélectionnez la méthode de calcul pour le calcul des frais de port."
"Min","Min"
"Minimum, in decimal format. Inclusive.","Minimum inclus, au format décimal."
"Max","Max"
"Maximum, in decimal format. Inclusive. To impose no upper limit, use *","Maximum inclus, au format décimal. Pour ne pas imposer de limite maximale, saisissez  *"
"Cost","Coût"
"Cost, excluding tax.","Coût, hors taxes."
"Add Shipping Rate","Ajouter une grille de frais de port"
"Delete Selected Rates","Supprimer les grilles sélectionnées"
"Delete the selected rates?","Supprimer les grilles sélectionnées ?"
"Shipping Zones","Zones de livraison"
"After adding a shipping zone, hit \"Save changes\" so that it appears as an option in the table rate section.","Après avoir ajouté une zone de livraison, cliquez sur \"Enregistrer les changements\" pour qu'elle apparaisse dans la configuration des frais de port."
"Name","Nom"
"Shipping zone name, will appear in table rates table.","Nom de la zone de livraison, tel qu'affiché dans la gestion des frais de port."
"Cities","Villes"
"Add one or more Cities that are part of this shipping zone.","Ajoutez une ou plusieurs villes qui font partie de cette zone d'expédition."
"Add Shipping Zone","Ajouter une zone de livraison"
"Delete Selected Zones","Supprimer les zones sélectionnées"
"Default Zone (All of Morocco)","Zone par défaut (tout le Maroc)"
"All of Morocco","Tout le Maroc"
"Delete the selected zones?","Supprimer les zones sélectionnées ?"
"Please select your Pickup point among this list","Relais colis les plus proches"
"Landmark","Repère"
"Opening Hours","Horaires d'ouverture"
"Monday","Lundi"
"Tuesday","Mardi"
"Wednesday","Mercredi"
"Thursday","Jeudi"
"Friday","Vendredi"
"Saturday","Samedi"
"Sunday","Dimanche"
"Distance in KM","Distance en km"
"Pickup ID","ID du point relais"
"Closing period","Fermé le"
"Speedbox management","Gestion speedbox "
"City","Ville"
"Select a city","Sélectionnez une ville"
"Merchant ID","ID Marchand"
"Please enter the merchant ID provided by SpeedBox.","Veuillez saisir l'ID Marchand fourni par SpeedBox."
"Statut historique","Historique des statuts"
"last updated timestamp","Dernière mise à jour"
"Pickup point delivery","Livraison en relais Pickup"
"Please proceed to the configuration of the Speedbox extension via System > Configuration > Sales > Shipping Methods > Livraison SpeedBox Relais. the value of the 'Delivery Fee Management' option must be equal to 'Specify shipping costs'","Veuillez  procéder à la configuration du module Sppedbox via Système > Configuration > Ventes > Modes de livraison > Livraison SpeedBox Relais. la valeur de l'option 'Gestion de frais de livraison' doit être egale a 'Specifier des frais de livraison'"
"Manage Shipping orders","Gestion des expéditions"
"Manage Zones","Gestion des zones"
"Package should be treated first","colis devra être envoyé à Speedbox d'abord"
"Delivered order status was updated","Le statut de la commande livrée a été mis à jour"
